protons,nuetrons,electrons,periodic x,periodic y,class,magicPro,magicNue
1,3,1,1,1,5,0,0
2,2,2,18,1,6,1,1
3,4,3,1,2,6,0,0
4,3,4,2,2,5,0,0
5,6,5,13,2,6,0,0
6,8,6,14,2,6,0,1
7,6,7,15,2,3,0,0
8,8,8,16,2,6,1,1
9,9,9,17,2,4,0,0
37,48,37,1,5,6,0,0
115,174,115,15,7,1,0,0
99,153,99,14,7,5,0,0
73,105,73,5,6,4,0,0
25,29,25,7,4,5,0,0
117,175,117,17,7,1,0,0
86,136,86,18,6,5,0,0
36,43,36,18,3,5,0,0
30,35,30,12,4,5,0,0
112,173,112,12,7,2,0,0
110,171,110,10,7,2,0,0
14,18,14,14,3,6,0,0
83,126,83,15,6,6,0,1
75,111,75,7,6,6,0,0
11,13,11,1,3,4,0,0
118,176,118,18,7,1,0,0
24,27,24,6,4,5,0,0
48,65,48,12,5,6,0,0
29,38,29,11,4,5,0,0
101,157,101,16,7,5,0,0
45,60,45,9,5,5,0,0
71,102,71,18,6,5,0,0
72,110,72,4,6,6,0,0
10,10,10,18,2,1,0,0
105,163,105,5,7,5,0,0
44,50,44,8,5,5,0,1
54,81,54,18,5,4,0,0
65,92,65,12,7,5,0,0
76,110,76,8,6,6,0,0
80,123,80,12,6,5,0,0
95,148,95,10,7,7.00E+00,0,0
66,88,66,13,7,6,0,0
40,48,40,4,5,5,0,0
26,34,26,8,4,6,0,0
74,111,74,6,6,5,0,0
104,163,104,4,7,4,0,0
15,17,15,15,3,5,0,0
56,77,56,2,6,5,0,0
34,48,34,16,4,6,0,0
97,150,97,12,7,6.00E+00,0,0
116,177,116,16,7,3,0,0
59,83,59,6,7,4,0,0
28,31,28,10,4,6,1,0
96,151,96,11,7,7.00E+00,0,0
92,146,92,7,7,7.00E+00,0,0
55,80,55,1,6,6,0,0
12,12,12,2,3,1,0,0
103,159,103,18,7,4,0,0
31,41,31,13,4,4,0,0
85,125,85,17,6,4,0,0
57,80,57,3,6,6,0,0
87,136,87,1,7,3,0,0
27,31,27,9,4,5,0,0
43,55,43,7,5,7.00E+00,0,0
111,169,111,11,7,3,0,0
17,19,17,17,3,6,0,0
79,119,79,11,6,5,0,0
33,40,33,15,4,5,0,0
109,167,109,9,7,1,0,0
77,112,77,9,6,5,0,0
42,50,42,6,5,6,0,1
42,50,42,6,5,6,0,1
6,5,6,14,2,3,0,0
37,46,37,1,5,5,0,0
115,172,115,15,7,1,0,0
99,154,99,14,7,5,0,0
73,105,73,5,6,4,0,0
25,27,25,7,4,5,0,0
117,173,117,17,7,1,0,0
117,174,117,17,7,1,0,0
86,127,86,18,6,4,1,1
36,42,36,18,3,6,1,1
30,39,30,12,4,3,0,0
112,174,112,12,7,2,0,0
110,169,110,10,7,1,0,0
14,17,14,14,3,4,0,0
83,125,83,15,6,6,0,0
11,11,11,1,3,5,0,0
48,61,48,12,5,5,0,0
29,35,29,11,4,4,0,0
101,159,101,16,7,5,0,0
45,57,45,9,5,5,0,0
71,103,71,18,6,5,1,1
72,100,72,4,6,5,0,0
105,158,105,5,7,2,0,0
44,59,44,8,5,5,0,0
54,74,54,18,5,4,1,1
65,93,65,12,7,6,0,0
76,115,76,8,6,5,0,0
80,117,80,12,6,5,0,0
95,146,95,10,7,6,0,0
40,53,40,4,5,6,0,0
26,29,26,8,4,5,0,0
74,106,74,6,6,6,0,0
104,159,104,4,7,3,0,0
15,18,15,15,3,5,0,0
56,74,56,2,6,6,0,0
34,38,34,16,4,5,0,0
97,152,97,12,7,5,0,0
116,175,116,16,7,3,0,0
59,84,59,6,7,5,0,0
28,35,28,10,4,5,1,0
96,147,96,11,7,5,0,0
92,143,92,7,7,6,0,0
55,82,55,1,6,5,0,1
103,152,103,18,7,2,1,1
31,36,31,13,4,5,0,0
85,124,85,17,6,4,0,1
57,81,57,3,6,6,0,0
87,134,87,1,7,3,0,0
27,29,27,9,4,5,0,0
27,33,27,9,4,5,0,0
43,53,43,7,5,5,0,0
111,171,111,11,7,3,0,0
17,15,17,17,3,1,0,0
79,116,79,11,6,5,0,0
33,41,33,15,4,5,0,0
109,169,109,9,7,2,0,0
77,117,77,9,6,4,0,0
42,57,42,6,5,5,0,0
