element,protons,nuetrons,electrons,periodic x,periodic y,magicNue,magicPro,half
Rubiduim,37,48,37,1,5,,,6
moscovium,115,174,115,15,7,,,1
einsteinium,99,153,99,14,7,,,6
tennessine,117,175,117,17,7,,,1
radon,86,136,86,18,6,,,5
copernicum,112,173,112,12,7,,,2
Darmstadtium,110,171,110,10,7,,,2
rhenium,75,111,75,7,6,,,6
oganesson,118,176,118,18,7,,,1
mendelevium,101,157,101,16,7,,,5
dubnium,105,163,105,5,7,,,5
americium,95,148,95,10,7,,,7.00E+00
rutherfordium,104,163,104,4,7,,,4
berkelium,97,150,97,12,7,,,6.00E+00
livermorium,116,177,116,16,7,,,3
curium,96,151,96,11,7,,,7.00E+00
uranium,92,146,92,7,7,,,7.00E+00
lawrencium,103,159,103,18,7,,,4
astatine,85,125,85,17,6,,,4
francium,87,136,87,1,7,,,3
technetium,43,55,43,7,5,,,7.00E+00
roentgenium,111,169,111,11,7,,,3
meitnerium,109,167,109,9,7,,,1
